,Country,Code,Cases,latitude,longitude
118,Saudi Arabia,SAU,908,17.7269134,42.2363448
119,Senegal,SEN,67623,14.4750607,-14.4529612
120,Seychelles,SYC,178,25.2244645,55.1828800435
121,Sierra Leone,SLE,61844,8.6400349,-11.8400269
122,Singapore,SGP,893,1.2904753,103.8520359
123,Slovenia,SVN,0,45.8133113,14.4808369
124,Somalia,SOM,311203,-13.180556,15.266667
125,South Africa,ZAF,186463,-28.8166236,24.991639
126,South Sudan,SSD,12534,7.8699431,29.6667897
127,Spain,ESP,360,40.0028028,-4.003104
128,Sri Lanka,LKA,10461,7.87771365,80.6624590791
129,Sudan,SDN,80634,14.5844444,29.4917691
130,Suriname,SUR,12,4.1413025,-56.0771187
131,Swaziland,SWZ,10107,-26.5624806,31.3991317
132,Sweden,SWE,29,59.6749712,14.5208584
133,Switzerland,CHE,16,46.7985624,8.2319736
134,Syrian Arab Republic,SYR,4472,34.6401861,39.0494106
135,Tajikistan,TJK,175,38.6281733,70.8156541
136,Thailand,THA,55982,14.8971921,100.83273
137,Togo,TGO,16344,8.7800265,1.0199765
138,Tonga,TON,145,-19.9160819,-175.2026424
139,Tunisia,TUN,687,33.8439408,9.400138
140,Turkey,TUR,401,38.9597594,34.9249653
141,Turkmenistan,TKM,647,39.3763807,59.3924609
142,Tuvalu,TUV,335,-7.768959,178.1167698
143,Uganda,UGA,108877,1.5333554,32.2166578
144,Ukraine,UKR,1448,49.4871968,31.2718321
145,United Arab Emirates,ARE,5,-1.2845614,36.8138007
146,United Kingdom of Great Britain and Northern Ireland,GBR,442,54.7023545,-3.2765753
147,United States of America,USA,439,39.7837304,-100.4458825
148,Uzbekistan,UZB,1,41.32373,63.9528098
149,Venezuela (Bolivarian Republic of),VEN,6969,52.094089,4.2829906
150,Viet Nam,VNM,73128,13.2904027,108.4265113
151,Yemen,YEM,52462,16.3471243,47.8915271
152,Zambia,ZMB,97606,-14.5186239,27.5599164
153,Zimbabwe,ZWE,153428,-18.4554963,29.7468414
