gdp,latitude,longitude,population,country,date,fatalities
2039,9.9456,-9.6966,12395924,Guinea,2015-03,2129
2039,9.9456,-9.6966,12395924,Guinea,2015-03,2170
2039,9.9456,-9.6966,12395924,Guinea,2015-03,2224
2039,9.9456,-9.6966,12395924,Guinea,2015-03,2263
2039,9.9456,-9.6966,12395924,Guinea,2015-03,2314
2039,9.9456,-9.6966,12395924,Guinea,2015-04,2333
2039,9.9456,-9.6966,12395924,Guinea,2015-04,2346
2039,9.9456,-9.6966,12395924,Guinea,2015-04,2358
2039,9.9456,-9.6966,12395924,Guinea,2015-04,2377
2039,9.9456,-9.6966,12395924,Guinea,2015-05,2386
2039,9.9456,-9.6966,12395924,Guinea,2015-05,2392
2039,9.9456,-9.6966,12395924,Guinea,2015-05,2407
2039,9.9456,-9.6966,12395924,Guinea,2015-05,2420
2039,9.9456,-9.6966,12395924,Guinea,2015-05,2429
2039,9.9456,-9.6966,12395924,Guinea,2015-06,2435
2039,9.9456,-9.6966,12395924,Guinea,2015-06,2444
2039,9.9456,-9.6966,12395924,Guinea,2015-06,2473
2039,9.9456,-9.6966,12395924,Guinea,2015-06,2482
2039,9.9456,-9.6966,12395924,Guinea,2015-07,2482
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-03,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-04,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-05,0
36833,41.8719,12.5674,60589445,Italy,2014-06,0
36833,41.8719,12.5674,60589445,Italy,2014-06,0
36833,41.8719,12.5674,60589445,Italy,2014-06,0
36833,41.8719,12.5674,60589445,Italy,2014-06,0
36833,41.8719,12.5674,60589445,Italy,2014-06,0
